,epoch,decoder_0,sindy_x_0,reg_0,corr_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,corr_1,sindy_z_1,active_coeffs_1,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
35,1751,0.0005302038043737411,0.0003987503005191684,1.61613443196984e-05,-3.268483396823285e-06,0.0,24,0.0002790127764455974,0.000222919654333964,2.1327228751033545e-05,-3.949559868487995e-06,0.0,33,0.0004046082904096693,0.0003108349774265662,1.8744286535365973e-05,0.0,28.5
36,1801,0.0005443837726488709,0.0003847398911602795,1.6140616935444996e-05,-3.207930376447621e-06,0.0,24,0.0002598437713459134,0.00021672158618457615,2.150252475985326e-05,-3.957153694500448e-06,0.0,33,0.0004021137719973922,0.00030073073867242783,1.8821570847649127e-05,0.0,28.5
37,1851,0.0005142883746884763,0.0003743123961612582,1.6123662135214545e-05,-3.1171878163149813e-06,0.0,23,0.000251066405326128,0.00021057343110442162,2.166533886338584e-05,-3.965760697610676e-06,0.0,33,0.00038267739000730217,0.0002924429136328399,1.8894500499300193e-05,0.0,28.0
38,1901,0.0005149098578840494,0.0003631319268606603,1.61182524607284e-05,-3.027167167601874e-06,0.0,23,0.0002441319520585239,0.00020513901836238801,2.1823398128617555e-05,-3.975610979978228e-06,0.0,33,0.00037952090497128665,0.00028413547261152416,1.8970825294672977e-05,0.0,28.0
39,1951,0.0005123724695295095,0.000354392162989825,1.610425897524692e-05,-2.951921715066419e-06,0.0,23,0.0002510996419005096,0.00020076478540431708,2.198331458203029e-05,-3.986147930845618e-06,0.0,33,0.00038173605571500957,0.00027757847419707105,1.9043786778638605e-05,0.0,28.0
40,2001,0.0005065950099378824,0.0003451434022281319,1.6070471247076057e-05,-2.867795501515502e-06,0.0,22,0.0002326859103050083,0.0001955069019459188,2.2136840925668366e-05,-3.995510269305669e-06,0.0,33,0.00036964046012144536,0.00027032515208702534,1.910365608637221e-05,0.0,27.5
41,2051,0.0005121183348819613,0.00033739153877831995,1.6027221136027947e-05,-2.785524657156202e-06,0.0,22,0.0002240827598143369,0.00019151723245158792,2.228089033451397e-05,-4.003620688308729e-06,0.0,33,0.0003681005473481491,0.00026445438561495394,1.915405573527096e-05,0.0,27.5
42,2101,0.0004988261498510838,0.00033050469937734306,1.5982706827344373e-05,-2.7051967208535643e-06,0.0,22,0.0002216318534919992,0.0001869433035608381,2.2412743419408798e-05,-4.010458269476658e-06,0.0,33,0.0003602290016715415,0.0002587240014690906,1.9197725123376586e-05,0.0,27.5
43,2151,0.0005016807117499411,0.00032766119693405926,1.5935935152810998e-05,-2.6274685751559446e-06,0.0,21,0.00021179353643674403,0.00018265089602209628,2.2532221919391304e-05,-4.0160985008697025e-06,0.0,33,0.00035673712409334257,0.00025515604647807777,1.923407853610115e-05,0.0,27.0
44,2201,0.0005011342582292855,0.00031830824445933104,1.5878120393608697e-05,-2.540349669288844e-06,0.0,21,0.00021096417913213372,0.00017796210886444896,2.26416923396755e-05,-4.020538654003758e-06,0.0,33,0.0003560492186807096,0.00024813517666189,1.92599063666421e-05,0.0,27.0
45,2251,0.0005107005126774311,0.00031217309879139066,1.5848900147830136e-05,-2.476181862220983e-06,0.0,21,0.000237276719417423,0.0001745434128679335,2.2745452952221967e-05,-4.022636858280748e-06,0.0,33,0.00037398861604742706,0.00024335825582966208,1.9297176550026052e-05,0.0,27.0
46,2301,0.0005005199927836657,0.00030653775320388377,1.5835032172617503e-05,-2.4166065486497246e-06,0.0,21,0.00019617867656052113,0.00017092350753955543,2.284476977365557e-05,-4.023519522888819e-06,0.0,33,0.0003483493346720934,0.0002387306303717196,1.9339900973136537e-05,0.0,27.0
47,2351,0.0005037743248976767,0.000301068153930828,1.5846693713683635e-05,-2.3559068722533993e-06,0.0,20,0.00019219738896936178,0.00016712522483430803,2.293855322932359e-05,-4.0240011003334075e-06,0.0,33,0.00034798585693351924,0.000234096689382568,1.939262347150361e-05,0.0,26.5
48,2401,0.0004935362376272678,0.00029692461248487234,1.5851670468691736e-05,-2.304708687006496e-06,0.0,20,0.00019038535538129508,0.00016454554861411452,2.3025248083285987e-05,-4.0233803701994475e-06,0.0,33,0.00034196079650428146,0.00023073508054949343,1.9438459275988862e-05,0.0,26.5
49,2451,0.0005027108127251267,0.000293458579108119,1.5856678146519698e-05,-2.2559324861504138e-06,0.0,20,0.00018760688544716686,0.00016075509483925998,2.3106187654775567e-05,-4.020382675662404e-06,0.0,33,0.0003451588490861468,0.0002271068369736895,1.9481432900647633e-05,0.0,26.5
50,2501,0.0005059688119217753,0.00028847274370491505,1.5859255654504523e-05,-2.211796982010128e-06,0.0,20,0.00017989249317906797,0.00015783964772708714,2.3189937564893626e-05,-4.0175564208766446e-06,0.0,33,0.00034293065255042166,0.0002231561957160011,1.9524596609699074e-05,0.0,26.5
51,2551,0.0004933102172799408,0.000285820453427732,1.586307553225197e-05,-2.171891992475139e-06,0.0,20,0.00023699222947470844,0.00015337995137088,2.3269149096449837e-05,-4.013337729702471e-06,0.0,33,0.00036515122337732464,0.000219600202399306,1.9566112314350903e-05,0.0,26.5
52,2601,0.00048918736865744,0.0002828461001627147,1.5864767192397267e-05,-2.1370185550040333e-06,0.0,20,0.00018910469952970743,0.00015172753774095327,2.334406781301368e-05,-4.0077316043607425e-06,0.0,33,0.0003391460340935737,0.000217286818951834,1.9604417502705473e-05,0.0,26.5
53,2651,0.0004851584089919925,0.00028020923491567373,1.5865754903643392e-05,-2.1057294361526147e-06,0.0,20,0.00018347337027080357,0.00014899924281053245,2.3415104806190357e-05,-4.0009463191381656e-06,0.0,33,0.000334315889631398,0.0002146042388631031,1.9640429854916874e-05,0.0,26.5
54,2701,0.0005000490928068757,0.0002774973399937153,1.5860801795497537e-05,-2.0790712369489484e-06,0.0,20,0.00017220404697582126,0.00014472620387095958,2.3483002223656513e-05,-3.993003701907583e-06,0.0,33,0.0003361265698913485,0.00021111177193233743,1.9671902009577025e-05,0.0,26.5
55,2751,0.0004938256461173296,0.0002760548086371273,1.585345307830721e-05,-2.057814299405436e-06,0.0,20,0.0002156910195481032,0.000143780154758133,2.3547327145934105e-05,-3.984396244050004e-06,0.0,33,0.0003547583328327164,0.00020991748169763014,1.9700390112120658e-05,0.0,26.5
56,2801,0.0004812797415070236,0.00027402324485592544,1.5841229469515383e-05,-2.0414172468008474e-06,0.0,20,0.00016793273971416056,0.0001399248867528513,2.3607080947840586e-05,-3.975333584094187e-06,0.0,33,0.00032460624061059207,0.00020697406580438837,1.9724155208677985e-05,0.0,26.5
57,2851,0.00047754767001606524,0.0002717935130931437,1.583049561304506e-05,-2.0280401713534957e-06,0.0,20,0.0001877918402897194,0.00013592842151410878,2.366415355936624e-05,-3.964787083532428e-06,0.0,33,0.0003326697551528923,0.00020386096730362624,1.974732458620565e-05,0.0,26.5
58,2901,0.00047777543659321964,0.0002699492615647614,1.581388460181188e-05,-2.018138502535294e-06,0.0,20,0.00017286714864894748,0.00013307643530424684,2.3719148884993047e-05,-3.9538199416710995e-06,0.0,33,0.00032532129262108356,0.00020151284843450412,1.9766516743402462e-05,0.0,26.5
59,2951,0.0004824101342819631,0.00026837113546207547,1.580241041665431e-05,-2.0096283606108045e-06,0.0,20,0.0001669771154411137,0.00013241588021628559,2.3772374333930202e-05,-3.941830073017627e-06,0.0,33,0.0003246936248615384,0.00020039350783918053,1.9787392375292256e-05,0.0,26.5
60,3001,0.00048723933286964893,0.00026704135234467685,1.5785197319928557e-05,-2.0045827113790438e-06,0.0,20,0.00019096818869002163,0.00012820353731513023,2.3822303774068132e-05,-3.929515060008271e-06,0.0,33,0.0003391037607798353,0.00019762244482990354,1.9803750546998344e-05,0.0,26.5
61,3051,0.00048189525841735303,0.00026560333208180964,1.576473005115986e-05,-1.999358119064709e-06,0.0,20,0.00017493739142082632,0.00012564273492898792,2.3868720745667815e-05,-3.917052708857227e-06,0.0,33,0.0003284163249190897,0.00019562303350539878,1.9816725398413837e-05,0.0,26.5
62,3101,0.00048223102930933237,0.0002640725579112768,1.573845474922564e-05,-1.9946608063037274e-06,0.0,20,0.00016077540931291878,0.0001231460482813418,2.3912043616292067e-05,-3.904320692527108e-06,0.0,33,0.0003215032193111256,0.0001936093030963093,1.9825249182758853e-05,0.0,26.5
63,3151,0.0004801242030225694,0.0002635481068864465,1.5709762010374106e-05,-1.989719521588995e-06,0.0,20,0.00015847617760300636,0.00012236845213919878,2.395516639808193e-05,-3.891435881087091e-06,0.0,33,0.0003193001903127879,0.00019295827951282263,1.9832464204228017e-05,0.0,26.5
64,3201,0.0004869725671596825,0.0002616900310385972,1.5677425835747272e-05,-1.9854558104270836e-06,0.0,20,0.00015773650375194848,0.0001216777745867148,2.3994363800738938e-05,-3.878510142385494e-06,0.0,32,0.0003223545354558155,0.00019168390281265602,1.9835894818243105e-05,0.0,26.0
65,3251,0.0004893186851404607,0.0002610838273540139,1.5640502169844694e-05,-1.9777444322244264e-06,0.0,20,0.00015442112635355443,0.00011824647663161159,2.4024735466809943e-05,-3.85067824026919e-06,0.0,32,0.0003218699057470076,0.00018966515199281275,1.983261881832732e-05,0.0,26.0
66,3301,0.0004884135560132563,0.0002603442990221083,1.5599249309161678e-05,-1.970221774172387e-06,0.0,20,0.0002132694935426116,0.00011879950761795044,2.4051514628808945e-05,-3.829135948762996e-06,0.0,32,0.00035084152477793396,0.00018957190332002938,1.982538196898531e-05,0.0,26.0
67,3351,0.0004778780275955796,0.00025922420900315046,1.5561752661596984e-05,-1.9641493054223247e-06,0.0,20,0.00017386664694640785,0.0001163550405181013,2.407976717222482e-05,-3.8092193790362217e-06,0.0,32,0.00032587233727099374,0.00018778962476062588,1.98207599169109e-05,0.0,26.0
68,3401,0.0004919903003610671,0.00025879760505631566,1.552823232486844e-05,-1.958127995749237e-06,0.0,20,0.00015391185297630727,0.00011418032954679802,2.410872002656106e-05,-3.7898155369475717e-06,0.0,32,0.00032295107666868716,0.00018648896730155684,1.981847617571475e-05,0.0,26.0
69,3451,0.0004867133975494653,0.0002579005085863173,1.5494921171921305e-05,-1.952422053363989e-06,0.0,20,0.00015428944607265294,0.0001115733030019328,2.4137436412274837e-05,-3.770340072151157e-06,0.0,32,0.0003205014218110591,0.00018473690579412505,1.981617879209807e-05,0.0,26.0
70,3501,0.0004890725831501186,0.00025723138242028654,1.545797749713529e-05,-1.9477092791930772e-06,0.0,20,0.00014874168846290559,0.00010889276745729148,2.4163548005162738e-05,-3.750158384718816e-06,0.0,32,0.0003189071358065121,0.000183062074938789,1.9810762751149014e-05,0.0,26.0
71,3551,0.00048074289225041866,0.00025620972155593336,1.541876008559484e-05,-1.9445487851044163e-06,0.0,20,0.0001864396035671234,0.00010826042125700042,2.4192329874495044e-05,-3.729577883859747e-06,0.0,32,0.00033359124790877104,0.00018223507140646689,1.9805544980044942e-05,0.0,26.0
72,3601,0.0005209051305428147,0.00025660183746367693,1.5381843695649877e-05,-1.940601123351371e-06,0.0,20,0.0002001585380639881,0.00010448478133184835,2.4217748432420194e-05,-3.709028533194214e-06,0.0,32,0.0003605318343034014,0.00018054330939776264,1.9799796064035036e-05,0.0,26.0
73,3651,0.0004929041024297476,0.0002551754587329924,1.534357033960987e-05,-1.9381370748305926e-06,0.0,20,0.0002264711365569383,0.00010218519310001284,2.4241659048129804e-05,-3.68883252122032e-06,0.0,32,0.00035968761949334294,0.00017868032591650262,1.9792614693869837e-05,0.0,26.0
74,3701,0.0004888788680545986,0.0002541735884733498,1.53038290591212e-05,-1.9365579646546394e-06,0.0,20,0.00016651651822030544,0.00010391003161203116,2.426364335406106e-05,-3.668470526463352e-06,0.0,32,0.000327697693137452,0.00017904181004269049,1.978373620659113e-05,0.0,26.0
75,3751,0.00046541879419237375,0.00025422629551030695,1.526610867585987e-05,-1.9359256384632317e-06,0.0,20,0.00018251406436320394,0.00010118929640157148,2.428542575216852e-05,-3.648289975899388e-06,0.0,32,0.00032396642927778885,0.00017770779595593922,1.9775767214014195e-05,0.0,26.0
76,3801,0.0004707692423835397,0.0002533934311941266,1.5223525224428158e-05,-1.937062052093097e-06,0.0,20,0.00015527124924119562,9.969959501177073e-05,2.4306218620040454e-05,-3.6283518056734465e-06,0.0,32,0.00031302024581236765,0.00017654651310294867,1.9764871922234306e-05,0.0,26.0
77,3851,0.0004765228950418532,0.00025287881726399064,1.518456974736182e-05,-1.9368253560969606e-06,0.0,20,0.00019707443425431848,9.59636818151921e-05,2.4326278435182758e-05,-3.6093902053835336e-06,0.0,32,0.00033679866464808583,0.00017442124953959137,1.975542409127229e-05,0.0,26.0
78,3901,0.0004714753886219114,0.0002636662684381008,1.5144470125960652e-05,-1.9376409454707755e-06,0.0,19,0.0001545335544506088,9.654944733483717e-05,2.4345536075998098e-05,-3.5911532449972583e-06,0.0,32,0.0003130044715362601,0.000180107857886469,1.9745003100979375e-05,0.0,25.5
79,3951,0.00047221442218869925,0.0002541453286539763,1.5086769963090774e-05,-1.9081167010881472e-06,0.0,19,0.0001430401171091944,9.359075920656323e-05,2.437030525470618e-05,-3.573105004761601e-06,0.0,32,0.0003076272696489468,0.00017386804393026978,1.9728537608898478e-05,0.0,25.5
80,4001,0.0004677779506891966,0.00025243760319426656,1.505039199400926e-05,-1.8984997041116003e-06,0.0,19,0.00014201400335878134,9.250616130884737e-05,2.4393955754931085e-05,-3.555645434971666e-06,0.0,32,0.00030489597702398896,0.00017247188225155696,1.9722173874470172e-05,0.0,25.5
81,4051,0.00048151769442483783,0.00025094053125940263,1.500736198067898e-05,-1.8946607269754168e-06,0.0,19,0.0001774615520844236,8.908574091037735e-05,2.4411434424109757e-05,-3.5383814065426122e-06,0.0,32,0.0003294896232546307,0.00017001313608489,1.9709398202394368e-05,0.0,25.5
82,4101,0.0004921779036521912,0.00025011759134940803,1.4963354260544293e-05,-1.893477133307897e-06,0.0,19,0.0001524803665233776,8.827251440379769e-05,2.442674849589821e-05,-3.5225789360993076e-06,0.0,32,0.0003223291350877844,0.00016919505287660286,1.969505137822125e-05,0.0,25.5
83,4151,0.0004814526764675975,0.00024951828527264297,1.4915091924194712e-05,-1.8950969433717546e-06,0.0,19,0.0001691048382781446,8.669467933941633e-05,2.4440929337288253e-05,-3.507173005345976e-06,0.0,32,0.00032527875737287104,0.00016810648230602965,1.9678010630741483e-05,0.0,25.5
