,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3
32,1600,1.2732298374176023,1.6407304883614415e-06,1.2708979845046997,0.0023301490582525,0.0,34,0.1428571428571428,0.8177593946456909,2.102218559230096e-06,0.8156710267066956,0.0020862878300249,0.0,38,0.0,0.9907058477401732,5.381421033234801e-07,0.9886229038238524,0.0020824125967919,0.0,31,0.0,0.880391538143158,2.123371814377606e-06,0.878773033618927,0.0016163348918780684,0.0,24,0.14285714285714285
33,1650,1.2875622510910034,1.6888961908989586e-06,1.285225749015808,0.0023348082322627,0.0,34,0.1428571428571428,0.8035830855369568,3.789390802921844e-06,0.8014869689941406,0.0020922785624861,0.0,38,0.0,0.9859049916267396,4.55817570355066e-07,0.9838292002677916,0.0020753112621605,0.0,31,0.0,0.8713546991348267,2.84481507151213e-06,0.8697415590286255,0.0016102645313367248,0.0,24,0.14285714285714285
34,1700,1.2906501293182373,3.273046559115756e-06,1.288308024406433,0.0023388287518173,0.0,34,0.1428571428571428,0.8138986229896545,1.9155863810738083e-06,0.8117987513542175,0.0020979379769414,0.0,38,0.0,0.99092435836792,4.290862705147447e-07,0.9888558387756348,0.002068125642836,0.0,31,0.0,0.8788524866104126,6.932163501005562e-07,0.8772478103637695,0.0016039893962442875,0.0,23,0.14285714285714285
35,1750,1.2763991355895996,1.2115764320697051e-06,1.2740557193756104,0.0023422429803758,0.0,34,0.1428571428571428,0.8175038695335388,1.997138724618708e-06,0.8153986930847168,0.00210313196294,0.0,38,0.0,0.9935427904129028,5.589819238593918e-07,0.9914814233779908,0.0020608145277947,0.0,31,0.0,0.8790388703346252,1.1856285482281237e-06,0.8774377703666687,0.001599893206730485,0.0,23,0.2857142857142857
36,1800,1.2758824825286863,1.3469315263137105e-06,1.273535966873169,0.0023452062159776,0.0,34,0.1428571428571428,0.818243682384491,2.063227384496713e-06,0.8161336779594421,0.0021078931167721,0.0,38,0.0,0.9893274903297424,3.794604594986595e-07,0.987273633480072,0.0020534913055598,0.0,31,0.0,0.8786715269088745,5.471529789247143e-07,0.8770738840103149,0.001597110414877534,0.0,23,0.2857142857142857
37,1850,1.2914164066314695,2.9579223337350413e-06,1.2890658378601074,0.0023476474452763,0.0,34,0.1428571428571428,0.8204475045204163,2.682451622604276e-06,0.8183315396308899,0.0021132724359631,0.0,37,0.0,0.986572563648224,5.756070322604501e-07,0.984525978565216,0.002045975998044,0.0,30,0.0,0.8800870180130005,5.812969448015792e-07,0.8784918785095215,0.0015945578925311565,0.0,23,0.2857142857142857
38,1900,1.2794685363769531,1.1434424322942505e-06,1.2771177291870115,0.0023496237117797,0.0,34,0.1428571428571428,0.8176450729370117,1.8929815723822685e-06,0.8155257701873779,0.0021173893474042,0.0,37,0.0,0.990379512310028,3.458927722022054e-07,0.9883432388305664,0.0020359144546091,0.0,29,0.0,0.878506064414978,5.796052278128627e-07,0.8769133687019348,0.0015920759178698063,0.0,23,0.2857142857142857
39,1950,1.273652195930481,1.4111462860455504e-06,1.2712996006011963,0.0023511087056249,0.0,34,0.1428571428571428,0.8167319297790527,1.8232373122373249e-06,0.8146093487739563,0.0021207577083259,0.0,37,0.0,0.9926773309707642,5.629016186503577e-07,0.9906508326530457,0.0020259609445929,0.0,29,0.0,0.8787896633148193,5.085774432700418e-07,0.8771994113922119,0.0015897445846349,0.0,23,0.2857142857142857
40,2000,1.282623052597046,1.0490940667295945e-06,1.280269742012024,0.0023522484116256,0.0,34,0.1428571428571428,0.8281943202018738,4.366589109849883e-06,0.8260665535926819,0.0021234415471553,0.0,37,0.0,0.9912586808204652,3.778573898216564e-07,0.9892411828041076,0.002017164370045,0.0,29,0.0,0.8815498948097229,5.147907700120413e-07,0.8799619078636169,0.0015874463133513927,0.0,23,0.2857142857142857
41,2050,1.2669798135757446,2.007248667723616e-06,1.264624834060669,0.0023529848549515,0.0,34,0.1428571428571428,0.8176061511039734,2.4424300590908388e-06,0.8154764175415039,0.0021273067686706,0.0,36,0.0,0.9925946593284608,5.381068035603676e-07,0.9905845522880554,0.002009575953707,0.0,29,0.0,0.8799681067466736,5.643723852699623e-07,0.8783823251724243,0.00158522033598274,0.0,23,0.2857142857142857
42,2100,1.274211883544922,1.1310289664834272e-06,1.271857500076294,0.0023533294443041,0.0,34,0.1428571428571428,0.8187044262886047,1.9508354398567462e-06,0.816574215888977,0.0021282706875354,0.0,36,0.0,0.9891510009765624,3.1271684974854e-07,0.9871488213539124,0.0020018727518618,0.0,29,0.0,0.8785804510116577,3.818829270585411e-07,0.8769970536231995,0.0015830566408112645,0.0,23,0.2857142857142857
43,2150,1.2786794900894165,1.1285001164651476e-06,1.2763251066207886,0.0023533359635621,0.0,34,0.1428571428571428,0.819036602973938,1.974158294615336e-06,0.8169026374816895,0.00213199458085,0.0,35,0.0,0.9903259873390198,3.354639375174884e-07,0.9883313179016112,0.0019942827057093,0.0,29,0.0,0.8806284666061401,7.152544299060537e-07,0.8790467381477356,0.0015810055192559958,0.0,23,0.2857142857142857
44,2200,1.2995469570159912,3.902706794178812e-06,1.2971899509429932,0.0023530167527496,0.0,34,0.1428571428571428,0.8187392354011536,1.9035782088394624e-06,0.8166044354438782,0.0021329012233763,0.0,35,0.0,0.9883009791374208,4.835923732571246e-07,0.986313819885254,0.0019866691436618,0.0,29,0.0,0.8787224292755127,1.0707442470447859e-06,0.8771423697471619,0.001578968483954668,0.0,23,0.2857142857142857
45,2250,1.2788127660751345,1.1387571703380672e-06,1.2764592170715332,0.0023523881100118,0.0,34,0.1428571428571428,0.8186206817626953,1.7987862293011858e-06,0.8164864182472229,0.0021324781700968,0.0,35,0.0,0.987411081790924,2.0758118353114696e-06,0.9854299426078796,0.0019790516234934,0.0,28,0.0,0.8794063329696655,4.103277149170026e-07,0.8778289556503296,0.0015769420424476266,0.0,23,0.2857142857142857
46,2300,1.2808997631072998,1.0742404583652387e-06,1.2785471677780151,0.0023514742497354,0.0,34,0.1428571428571428,0.8115514516830444,1.7066106465790654e-06,0.8094161748886108,0.0021335403434932,0.0,35,0.0,0.9903294444084167,3.144026265999855e-07,0.9883570075035096,0.0019721544813364,0.0,27,0.0,0.8784511685371399,4.5484216570912395e-07,0.876875638961792,0.0015750312013551593,0.0,23,0.2857142857142857
