,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4
40,2000.0,0.0006257311906665564,0.0005944912554696202,3.2942166399152484e-06,0.0,9,14.0,0.0015076340641826391,0.0008496816153638065,2.4459618543914985e-06,0.0,9,14.0,0.000999517971649766,0.0006717843352816999,1.3818749948768527e-06,0.0,4,9.0,0.0005241205799393356,0.0006086348439566791,4.2992787712137215e-06,0.0,9,10.0,0.000605622713919729,0.0004979997174814343,2.8223487333889352e-06,0.0,8,11.0
41,2050.0,0.000607395835686475,0.0005902788834646344,3.3039143545465777e-06,0.0,9,14.0,0.0014283646596595645,0.0008308434044010937,2.458039944031043e-06,0.0,9,14.0,0.0009755484061315656,0.0006609831470996141,1.3944230659035384e-06,0.0,4,9.0,0.00048761771176941693,0.000590694893617183,4.361559149401728e-06,0.0,8,9.0,0.0005844990373589098,0.0004959937650710344,2.8039441986038582e-06,0.0,7,10.0
42,2100.0,0.0005803130916319788,0.00058590347180143,3.3133153465314535e-06,0.0,9,14.0,0.0013561834348365664,0.0008136210381053388,2.4726623450987972e-06,0.0,9,14.0,0.0009530414245091379,0.0006505130440928042,1.4068419886825723e-06,0.0,4,9.0,0.0004861978522967547,0.0005722196074202657,4.419956439960515e-06,0.0,8,9.0,0.0005761413485743105,0.00048508390318602324,2.788736992442864e-06,0.0,7,10.0
43,2150.0,0.0005559040000662208,0.000581601110752672,3.3209639695996884e-06,0.0,9,14.0,0.0012984971981495619,0.0007987893186509609,2.4887287963792915e-06,0.0,9,14.0,0.0009160038898698986,0.0006408992339856923,1.4185718555381754e-06,0.0,4,9.0,0.000448814855189994,0.0005523737636394799,4.472964519663947e-06,0.0,8,9.0,0.0005249332170933485,0.000479984562844038,2.7765008780988865e-06,0.0,7,10.0
44,2200.0,0.0005467220908030868,0.0005780416540801525,3.3278940918535227e-06,0.0,8,13.0,0.0012421204010024667,0.0007866090163588524,2.505992824808345e-06,0.0,9,14.0,0.000925041560549289,0.0006313968915492296,1.4295773098638165e-06,0.0,4,9.0,0.0004482107178773731,0.0005326695973053575,4.519522462942405e-06,0.0,8,9.0,0.0005054028588347137,0.00047469811397604644,2.765890030786977e-06,0.0,7,10.0
45,2250.0,0.0005179056897759438,0.0005742046632803977,3.3391208944522077e-06,0.0,8,13.0,0.00117571372538805,0.0007754426915198565,2.5228016511391615e-06,0.0,9,14.0,0.0008580751018598676,0.0006222515949048102,1.4404826060854248e-06,0.0,4,9.0,0.0004067172412760556,0.0005113695515319705,4.560023626254406e-06,0.0,8,9.0,0.0005119533161632717,0.0004702799196820706,2.758767550403718e-06,0.0,7,10.0
46,2300.0,0.0004999612574465573,0.0005715798470191658,3.356174374857801e-06,0.0,8,13.0,0.0011222270550206304,0.0007642616983503103,2.5391670988028636e-06,0.0,9,14.0,0.0008300313493236899,0.0006133030983619392,1.4507646710626432e-06,0.0,4,9.0,0.0003862766025122255,0.000490209786221385,4.596359303832287e-06,0.0,8,9.0,0.0004599245439749211,0.00046623271191492677,2.7533810680324677e-06,0.0,7,10.0
47,2350.0,0.0004890432464890182,0.0005687391385436058,3.3747865018085577e-06,0.0,8,13.0,0.0010766159975901246,0.0007525483379140496,2.5546039523760555e-06,0.0,9,14.0,0.0007998712826520205,0.0006037821876816452,1.4609704521717504e-06,0.0,4,9.0,0.00038600838161073625,0.00046973826829344034,4.630417151929578e-06,0.0,8,9.0,0.00044209821498952806,0.0004624125431291759,2.7512146516528446e-06,0.0,7,10.0
48,2400.0,0.00046910918899811804,0.0005664369673468173,3.393238330318127e-06,0.0,8,13.0,0.0010291053913533688,0.0007396385190077126,2.5687536435725633e-06,0.0,9,14.0,0.0007726694457232952,0.0005943812429904938,1.4713519931319752e-06,0.0,4,9.0,0.0003471251402515918,0.00044809855171479285,4.664294465328567e-06,0.0,8,9.0,0.00042967614717781544,0.00045917590614408255,2.750474095591926e-06,0.0,7,10.0
49,2450.0,0.00044277095003053546,0.0005641330499202013,3.4117310860892758e-06,0.0,8,13.0,0.0009850587230175734,0.0007265627500601113,2.581856278993655e-06,0.0,9,14.0,0.0007674005464650691,0.0005852992762811482,1.4819117950537475e-06,0.0,4,9.0,0.0003268179716542363,0.0004263698065187782,4.700223598774755e-06,0.0,8,9.0,0.00041480548679828644,0.00045563385356217623,2.753299668256659e-06,0.0,7,10.0
50,2500.0,0.00042661314364522696,0.0005623039905913174,3.428832769714063e-06,0.0,8,13.0,0.0009408331825397909,0.000714949332177639,2.594235866126837e-06,0.0,9,14.0,0.000720784708391875,0.0005778647609986365,1.492607907493948e-06,0.0,4,9.0,0.0003169321862515062,0.0004060000937897712,4.737810286314925e-06,0.0,8,9.0,0.00038500185473822057,0.0004524189862422645,2.7584292183746584e-06,0.0,7,10.0
