,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1
51,2550,5.4763706430094317e-05,1.4459971680480521e-05,3.438703788560815e-05,5.916697318752995e-06,0.0,17,0.42857142857142855,1.5259382053045556e-05,3.6395144888956565e-06,3.1953204597812146e-06,8.424546649621334e-06,0.0,21,0.14285714285714285
52,2600,3.317461960250512e-05,8.45178965391824e-06,1.8875745809054933e-05,5.847081411047839e-06,0.0,17,0.42857142857142855,1.24350863188738e-05,1.117450779020146e-06,2.9618945518450346e-06,8.355740646948107e-06,0.0,21,0.14285714285714285
53,2650,2.782091723929625e-05,7.057275979605038e-06,1.4963246940169483e-05,5.80039477426908e-06,0.0,17,0.42857142857142855,1.2845859600929543e-05,1.6046632254074211e-06,2.957436436190619e-06,8.28375959827099e-06,0.0,21,0.14285714285714285
54,2700,2.5240688046324067e-05,6.642295375058893e-06,1.2844982848037034e-05,5.75341027797549e-06,0.0,16,0.42857142857142855,1.2426979083102196e-05,1.2495338523876853e-06,2.9671068659808952e-06,8.210337909986265e-06,0.0,21,0.14285714285714285
55,2750,2.180051706091035e-05,4.606783477356657e-06,1.1484604328870773e-05,5.709129254682921e-06,0.0,16,0.42857142857142855,1.207108380185673e-05,1.09301652173599e-06,2.842238700395683e-06,8.13582846603822e-06,0.0,21,0.14285714285714285
56,2800,2.0688668882939965e-05,4.130761681153672e-06,1.0878226930799428e-05,5.6796793614921626e-06,0.0,16,0.42857142857142855,2.3451624656445347e-05,3.4325651085964637e-06,1.1736854503396899e-05,8.28220527182566e-06,0.0,20,0.14285714285714285
57,2850,2.1688005290343426e-05,5.452568530017743e-06,1.0584819392533973e-05,5.650617822539061e-06,0.0,16,0.42857142857142855,1.6759800928412005e-05,2.516019549148041e-06,5.919132945564343e-06,8.324649570567999e-06,0.0,19,0.14285714285714285
58,2900,2.059755388472695e-05,4.74783155368641e-06,1.022280594042968e-05,5.626915935863508e-06,0.0,16,0.42857142857142855,1.4449431546381675e-05,1.8316140995011665e-06,4.273431841284037e-06,8.344385605596472e-06,0.0,17,0.14285714285714285
59,2950,1.9649316527647898e-05,4.210836777929217e-06,9.83666814136086e-06,5.601810698863119e-06,0.0,16,0.42857142857142855,1.4567726793757174e-05,1.7835185417425237e-06,4.436129984242143e-06,8.34807815408567e-06,0.0,16,0.14285714285714285
60,3000,1.9131042790831998e-05,3.948497578676324e-06,9.607046195014846e-06,5.575499471888179e-06,0.0,16,0.42857142857142855,1.3694995686819311e-05,1.4214240309229353e-06,3.959595233027358e-06,8.313976650242694e-06,0.0,16,0.14285714285714285
61,3050,1.9226765289204195e-05,4.2601145651133265e-06,9.418049558007624e-06,5.548601166083245e-06,0.0,16,0.42857142857142855,1.5773459381307475e-05,3.6527003430819605e-06,3.871719854942057e-06,8.249038728536107e-06,0.0,16,0.14285714285714285
62,3100,1.880684430943802e-05,4.004881247965386e-06,9.28084864426637e-06,5.521114417206263e-06,0.0,16,0.42857142857142855,1.3669087820744608e-05,1.9373808299860684e-06,3.5592088352132123e-06,8.172498382919002e-06,0.0,16,0.14285714285714285
63,3150,1.8305681805941276e-05,3.665918256956502e-06,9.146651791525073e-06,5.4931119848333765e-06,0.0,16,0.42857142857142855,1.3088603736832738e-05,1.682226297816669e-06,3.3217272630281514e-06,8.084650289674755e-06,0.0,16,0.14285714285714285
64,3200,1.8222490325570107e-05,3.680529289340484e-06,9.113358828471974e-06,5.4286024351313245e-06,0.0,15,0.42857142857142855,1.235848139913287e-05,1.1408985756133916e-06,3.2207938147621462e-06,7.996789463504683e-06,0.0,16,0.14285714285714285
65,3250,2.0123692593188025e-05,5.723782578570535e-06,8.999398232845124e-06,5.4005126912670676e-06,0.0,15,0.42857142857142855,1.2337924999883398e-05,1.1703091331582982e-06,3.250637519158772e-06,7.916978574940003e-06,0.0,15,0.14285714285714285
66,3300,1.7617319826968014e-05,3.4805250379577046e-06,8.759495358390268e-06,5.377300112741068e-06,0.0,15,0.42857142857142855,1.1809671377704944e-05,8.939173312683124e-07,3.0671867534692865e-06,7.848567292967346e-06,0.0,15,0.14285714285714285
67,3350,1.7767908502719365e-05,3.7453003187692957e-06,8.669250746606849e-06,5.353357209969545e-06,0.0,15,0.42857142857142855,1.1734805411833804e-05,9.499285624769982e-07,2.9768295917165233e-06,7.808047485013958e-06,0.0,15,0.14285714285714285
68,3400,2.086481254082173e-05,6.702636255795369e-06,8.832306775730103e-06,5.32986996404361e-06,0.0,15,0.42857142857142855,1.282457924389746e-05,2.193021600760403e-06,2.868177716663922e-06,7.763380381220486e-06,0.0,15,0.14285714285714285
69,3450,1.7196663975482807e-05,3.395613475731807e-06,8.488928870065138e-06,5.312122084433213e-06,0.0,15,0.42857142857142855,1.1431819984863978e-05,9.514942576061003e-07,2.7644539386528777e-06,7.715872015978675e-06,0.0,15,0.14285714285714285
70,3500,1.7268061128561385e-05,3.580108341338928e-06,8.393637472181581e-06,5.29431463291985e-06,0.0,15,0.42857142857142855,1.111185883928556e-05,7.624139470863156e-07,2.7011406018573325e-06,7.648304745089263e-06,0.0,14,0.14285714285714285
71,3550,1.7103089703596197e-05,3.4795009469235083e-06,8.346609320142306e-06,5.276979209156707e-06,0.0,15,0.42857142857142855,1.106876243284205e-05,8.061201128839457e-07,2.6658688057068503e-06,7.5967732300341595e-06,0.0,14,0.14285714285714285
72,3600,1.7382546502631158e-05,3.8079231217125198e-06,8.315347258758266e-06,5.259276349534048e-06,0.0,15,0.42857142857142855,1.1063915735576302e-05,8.994852009891474e-07,2.6195591544819763e-06,7.544871550635435e-06,0.0,14,0.14285714285714285
