,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
54,2701,0.00016971569857560098,0.00017470991588197649,7.855384865251835e-06,0.0,13,7.005488441791385e-05,0.00015637579781468958,1.1674625966406893e-05,0.0,16,0.00029556284425780177,0.00023667966888751835,1.0804961675603408e-05,0.0,18,0.0009772031335160136,0.00021512324747163802,8.237376277975272e-06,0.0,11,0.00037813414019183256,0.0001957221575139556,9.643087196309352e-06,0.0,14.5
55,2751,0.00016563202370889485,0.000172643645782955,7.852610906411428e-06,0.0,13,6.807969475630671e-05,0.00015423697186633945,1.1683227967296261e-05,0.0,16,0.0002931562776211649,0.00023422054073307663,1.0814764209499117e-05,0.0,18,0.0009970933897420764,0.0002163464087061584,8.270537364296615e-06,0.0,11,0.0003809903464571107,0.00019436189177213237,9.655285111875855e-06,0.0,14.5
56,2801,0.00018390915647614747,0.00017252042016480118,7.853801434976049e-06,0.0,13,8.467024599667639e-05,0.000150663559907116,1.1689266102621332e-05,0.0,16,0.00030128686921671033,0.00023150253400672227,1.0823619049915578e-05,0.0,18,0.0009571954724378884,0.00021192395070102066,8.30701355880592e-06,0.0,11,0.00038176543603185564,0.00019165261619491503,9.66842503657972e-06,0.0,14.5
57,2851,0.00016651021724101156,0.00017093012866098434,7.85101656219922e-06,0.0,13,7.277925033122301e-05,0.00014938921958673745,1.1695224202412646e-05,0.0,16,0.00030148314544931054,0.00022873375564813614,1.0829957318492234e-05,0.0,18,0.0009429105557501316,0.00021106464555487037,8.342735782207455e-06,0.0,11,0.0003709207921929192,0.00019002943736268207,9.679733466327889e-06,0.0,14.5
58,2901,0.0001738362043397501,0.00016929276171140373,7.851108421164099e-06,0.0,13,7.350606756517664e-05,0.00014619907597079873,1.1698681191774085e-05,0.0,16,0.0002944717416539788,0.00022771467047277838,1.0836425644811243e-05,0.0,18,0.0009393689688295126,0.00021035732061136514,8.379342034459114e-06,0.0,11,0.00037029574559710454,0.0001883909571915865,9.691389323052135e-06,0.0,14.5
59,2951,0.00017622436280362308,0.0001689640193944797,7.85116571933031e-06,0.0,13,7.319840369746089e-05,0.00014311636914499104,1.1701111361617222e-05,0.0,16,0.0002891856129281223,0.00022481491032522172,1.0841283256013412e-05,0.0,18,0.0008947740425355732,0.00020602905715350062,8.416236596531235e-06,0.0,11,0.0003583456054911949,0.00018573108900454827,9.702449233373045e-06,0.0,14.5
60,3001,0.00021750919404439628,0.00016671967750880867,7.8524935815949e-06,0.0,13,7.380298484349623e-05,0.0001400113687850535,1.1722003364411648e-05,0.0,16,0.000288668874418363,0.000221380585571751,1.0845810720638838e-05,0.0,18,0.0009058819268830121,0.0002073717041639611,8.454660928691737e-06,0.0,11,0.0003714657450473169,0.00018387083400739357,9.71874214883428e-06,0.0,14.5
61,3051,0.00018432651995681226,0.00016643948038108647,7.8559305620729e-06,0.0,13,0.00011317164899082854,0.000137290422571823,1.1738179637177382e-05,0.0,15,0.0002859513333532959,0.00021902821026742458,1.0849138561752625e-05,0.0,18,0.0008606325136497617,0.0002023543493123725,8.49407570058247e-06,0.0,11,0.0003610205039876746,0.00018127811563317664,9.734331115396344e-06,0.0,14.25
62,3101,0.0001790552632883191,0.00016493773728143424,7.855629519326612e-06,0.0,13,7.571270543849096e-05,0.00013663772551808506,1.174242152046645e-05,0.0,15,0.00028609437867999077,0.00021685297542717308,1.085160329239443e-05,0.0,18,0.000861290842294693,0.00020178279373794794,8.534640073776245e-06,0.0,11,0.00035053829742537346,0.00018005280799116008,9.746073601490934e-06,0.0,14.25
63,3151,0.00018033021478913724,0.00016422082262579352,7.858478966227267e-06,0.0,13,7.049208215903491e-05,0.00013366145140025765,1.173985128843924e-05,0.0,15,0.000278511579381302,0.00021187326638028026,1.0855610526050441e-05,0.0,18,0.0008515850640833378,0.00020106829470023513,8.577644621254876e-06,0.0,11,0.000345229735103203,0.00017770595877664164,9.757896350492956e-06,0.0,14.25
64,3201,0.00018781080143526196,0.00016257178504019976,7.860340701881796e-06,0.0,13,7.168986485339701e-05,0.00013158096408005804,1.1734417057596147e-05,0.0,15,0.00028374389512464404,0.00020758480241056532,1.0858225323318038e-05,0.0,18,0.0008125908789224923,0.00019445329962763935,8.62025535752764e-06,0.0,11,0.0003389588600839488,0.00017404771278961562,9.768309610080905e-06,0.0,14.25
65,3251,0.0001882262440631166,0.0001611206098459661,7.863955033826642e-06,0.0,13,7.732906669843942e-05,0.00012884565512649715,1.1729520338121802e-05,0.0,15,0.000288932555122301,0.00020637499983422458,1.0860135262191761e-05,0.0,18,0.0008214337867684662,0.00019480116316117346,8.663375410833396e-06,0.0,11,0.0003439804131630808,0.00017278560699196532,9.7792465112434e-06,0.0,14.25
66,3301,0.00019171035091858357,0.00015847226313780993,7.866626219765749e-06,0.0,13,7.08404986653477e-05,0.00012545697973109782,1.1725512194971088e-05,0.0,15,0.0002778627385850996,0.0002023879496846348,1.0861585906241089e-05,0.0,18,0.0007942913798615336,0.00019253049686085433,8.70777694217395e-06,0.0,11,0.0003336762420076411,0.00016971192235359922,9.79037531578797e-06,0.0,14.25
67,3351,0.00020178868726361543,0.00015925703337416053,7.869891305745114e-06,0.0,13,7.369507511612028e-05,0.00012322879047133029,1.1719503163476475e-05,0.0,15,0.00028008478693664074,0.00020015689369756728,1.086262273020111e-05,0.0,18,0.0007696537068113685,0.00018727773567661643,8.752583198656794e-06,0.0,11,0.00033130556403193623,0.00016748011330491863,9.801150099519873e-06,0.0,14.25
